Title;Licensee;Released;Release Year;Release Month
Championship Pool;Mindscape;October 1993;1993;10
Chessmaster, The;Hi-Tech;January 1990;1990;01
Chip 'N Dale: Rescue Rangers;Capcom;June 1990;1990;06
Chip 'N Dale: Rescue Rangers 2;Capcom;January 1994;1994;01
Chubby Cherub;Bandai;October 1986;1986;10
Circus Caper;Toho;July 1990;1990;07
City Connection;Jaleco;May 1988;1988;05
Clash at Demonhead;Vic Tokai;January 1990;1990;01
Classic Concentration;Gametek;September 1990;1990;09
Cliffhanger;Sony Imagesoft;November 1993;1993;11
Clu Clu Land;Nintendo;October 1985;1985;10
Cobra Command;Data East;November 1988;1988;11
Cobra Triangle;Nintendo;July 1989;1989;07
Code Name: Viper;Capcom;March 1990;1990;03
Color a Dinosaur;Virgin Interactive;July 1993;1993;07
Commando;Capcom;November 1986;1986;11
Conan: The Mysteries of Time;Mindscape;February 1991;1991;02
Conflict;Vic Tokai;March 1990;1990;03
Conquest of the Crystal Palace;Asmik;November 1990;1990;11
Contra;Konami;February 1988;1988;02
Contra Force;Konami;September 1992;1992;09
Cool World;Ocean;June 1993;1993;06
Cowboy Kid;Romstar;January 1992;1992;01
Crash 'n the Boys: Street Challenge;American Technos;October 1992;1992;10
Crystalis;SNK;July 1990;1990;07
Cybernoid: The Fighting Machine;Acclaim;December 1989;1989;12
Dance Aerobics;Nintendo;March 1989;1989;03
Danny Sullivan's Indy Heat;Tradewest;August 1992;1992;08
Darkman;Ocean;October 1991;1991;10
Darkwing Duck;Capcom;June 1992;1992;06
Dash Galaxy in the Alien Asylum;Data East;February 1990;1990;02
Day Dreamin' Davey;Hal America;June 1992;1992;06
Days of Thunder;Mindscape;October 1990;1990;10
Deadly Towers;Broderbund;September 1987;1987;09
Defender II;Hal America;July 1988;1988;07
Defender of the Crown;Ultra Soft;July 1989;1989;07
Defenders of Dynatron City;JVC;July 1992;1992;07
Deja Vu;Seika;December 1990;1990;12
Demon Sword;Taito Software;January 1990;1990;01
Desert Commander;Seika;June 1989;1989;06
Destination Earth Star;Acclaim;February 1990;1990;02
Destiny of an Emperor;Capcom;September 1990;1990;09
